	mean_chao1
ERR1513707	106.35
ERR1513696	250.90910381094878
ERR1513693	265.31339844045726
ERR1513702	290.91801635462895
ERR1513714	257.5598984348984
ERR1513713	217.8917370053976
ERR1513706	143.9121264700212
ERR1513698	242.2791820728291
ERR1513691	200.2956758462874
ERR1513694	141.78976495726494
ERR1513711	158.7000939849624
ERR1513703	156.1877694235589
ERR1513709	151.3491341991342
ERR1513708	198.5947619047619
ERR1513704	215.74829914529914
ERR1513710	261.4052197802198
ERR1513712	229.55504761904763
ERR1513695	202.06806034482761
ERR1513705	163.98149644473176
ERR1513699	145.97017850570484
ERR1513726	123.14155138978667
ERR1513715	249.3341040843215
ERR1513735	265.54043095754173
ERR1513724	179.51153038138335
ERR1513733	258.79444035125294
ERR1513721	145.20421396628828
ERR1513716	231.10524613258977
ERR1513729	190.24879536727366
ERR1513717	271.9080031080031
ERR1513719	211.3066984126984
ERR1513728	181.35353535353536
ERR1513722	200.16526915113872
ERR1513718	203.86421404682275
ERR1513734	261.43304347826086
ERR1513725	219.49147509578543
ERR1513731	101.63506493506493
ERR1513730	184.9035714285714
ERR1513727	213.18176691729323
ERR1513723	189.09444444444443
ERR1513747	203.17181677018633
ERR1513752	202.62736338171632
ERR1513742	213.55273856578202
ERR1513749	232.10422077922075
ERR1513737	137.47356442577032
ERR1513740	168.6222463768116
ERR1513738	134.98755494505494
ERR1513753	187.03306091315244
ERR1513754	227.91650025130497
ERR1513751	199.77336584983647
ERR1513745	143.61924115100584
ERR1513744	271.7714655199873
ERR1513750	202.73688888888887
ERR1513746	174.68166666666667
ERR1513739	188.96332255979317
ERR1513748	193.39676470588233
ERR1513755	126.28285714285714
ERR1513743	202.09072253407294
ERR1513736	188.00462184873948
ERR1513741	229.65353535353535
ERR1513761	215.82138373121134
ERR1513758	221.2057142857143
ERR1513773	258.0902884615385
ERR1513770	405.0010227272727
ERR1513757	214.06145667198297
ERR1513767	202.64411027568923
ERR1513756	185.65331564986735
ERR1513762	178.80998236546063
ERR1513775	123.23578643578644
ERR1513766	196.46727688787186
ERR1513763	225.42596839692814
ERR1513760	154.56516974253816
ERR1513772	184.14093567251462
ERR1513776	232.72170468611853
ERR1513765	183.55636731689364
ERR1513764	124.11641456582633
ERR1513759	227.99434731934736
ERR1513768	318.83985897435895
ERR1513769	114.48333333333332
ERR1513794	194.0751332989336
ERR1513797	198.89079365079365
ERR1513798	194.42463768115937
ERR1513788	193.1407378079437
ERR1513784	208.22543290043285
ERR1513796	274.89146190415477
ERR1513781	218.49666666666667
ERR1513782	166.36615384615385
ERR1513789	165.95333333333332
ERR1513785	274.7289259307728
ERR1513777	284.7817587641117
ERR1513783	162.5
ERR1513786	173.48235294117646
ERR1513780	180.92960372960374
ERR1513787	167.0309090909091
ERR1513778	177.29285714285714
ERR1513795	159.06256916996045
ERR1513817	259.8751920122887
ERR1513808	216.3390198037257
ERR1513807	292.01795464492835
ERR1513803	284.6375499454574
ERR1513819	239.49961666809276
ERR1513823	278.8575686009896
ERR1513821	147.79166666666669
ERR1513820	186.0938079077785
ERR1513813	278.8649831649832
ERR1513806	212.7660952380952
ERR1513822	185.68571428571425
ERR1513800	217.9355980861244
ERR1513805	241.0490043290043
ERR1513811	147.04777777777778
ERR1513812	200.35761904761904
ERR1513810	213.45262237762236
ERR1513802	127.42565939736218
